,시설명,주소,위도,경도
0,종로노인종합복지관,율곡로19길 17-8,37.5766679096376,127.006020606379
1,종로노인종합복지관 무악센터,통일로14길 30,37.575816548027,126.958022080228
2,서울노인복지센터,삼일대로 467,37.5759657913407,126.985853298403
3,락희거리,삼일대로 428,37.5727635233966,126.987902476529
4,종묘광장공원 동순라길,인의동,37.5723311920992,126.997668102599
5,신당6동 노인복지관,퇴계로80길 52,37.5632209674626,127.017321510715
6,신일경로당,청구로 121,37.5626015522463,127.010191443117
7,묵정경로당,퇴계로45길 32-12,37.5636816560149,126.999802151197
8,필동경로당,필동로 11,37.560544956653,126.996236729456
9,장수경로당,동호로11다길 18,37.551938026196,127.007068702877
10,동호경로당,동호로8길 42-22,37.5524096422086,127.013026856554
11,충현경로당,동호로17나길 9,37.5544010718688,127.00562588219
12,신당5동경로당,다산로42길 53,37.5643486342233,127.019200220301
13,시립용산노인종합복지관,독서당로11길 16,37.5313386817535,127.006498019073
14,송학당경로당,효창원로37라길 11,37.5378818123242,126.958153333559
15,구립한남노인요양원,독서당로 103,37.5356019057174,127.010775094877
16,효창공원,효창동,37.5424588083351,126.9618988792
17,원효로경로당,원효로41가길 14-19,37.5347936874,126.956557152817
18,시립성동노인종합복지관,마조로 77,37.5647846611665,127.041239858501
19,시립동부노인전문요양센터,마장로23길 12,37.5676299945366,127.032963032956
20,성동치매지원센터,왕십리로5길 3,37.5464025531618,127.044349655211
21,왕십리제일경로당,왕십리로33가길 16,37.5642444864291,127.027769216284
22,대한노인회성삼경로당,광나루로2길 35,37.5482232014778,127.055245559476
23,광진노인종합복지관,군자로 88,37.5510982450362,127.071596091794
24,국가유공자경로당,아차산로 630,37.5488324836158,127.107996640955
25,대원경로당,긴고랑로36길 57-27,37.5576268723904,127.09166719538
26,구의경로당,광나루로40길 6,37.5445038747046,127.089384028736
27,중곡1동 제2경로당,긴고랑로8길 51,37.5611713223843,127.077970405837
28,동대문노인종합복지관,제기로33길 25,37.5872413382227,127.049826506747
29,중산경로당,답십리로48길 54,37.57035479013,127.057611962324
30,행복마을경로당,고산자로56길 53,37.5900575977734,127.03870157784
31,대한노인회 동대문구지회,사가정로 98,37.5763708070922,127.056336927579
32,장평경로당,한천로28길 27,37.5732523670575,127.068454819149
33,경동노인요양원,약령시로 122-5,37.5827948685791,127.043383322952
34,은천노인종합복지센터,장한로27가길 53,37.5754966426096,127.070917015727
35,시립중랑노인종합복지관,겸재로9길 45,37.5884349591944,127.077841909247
